dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
ByteDance,60,xgboost,2,24.43360137939453,7.986956596374512,16.446645736694336,1.6544901132583618,0.4898899652026709,0.5101100347973291,1.6112031936645508,1.5648915767669678,2.9333152770996094,10.718472480773926,63798
ByteDance,60,lightgbm,2,27.55884918842423,8.983128038285152,18.575721150139078,1.8661122369665613,0.5062070911313834,0.4902818270165209,1.8197789458661593,1.760072423564444,-0.19193253193008886,-0.7013304945500445,63798
ByteDance,60,extratrees,2,21.800341044730505,7.290406672857255,14.50993437187325,1.4761822206532458,0.4926956957898367,0.5056898335371015,1.4214723004515473,1.4284159912648622,5.566575611763636,20.34052897385023,63798
ByteDance,60,bilstm,2,,,,,0.45523370638578015,0.544593874416126,,,,,63798
ByteDance,60,linear_reg,2,26.798933029174805,9.318090438842773,17.48084259033203,1.8146555423736572,0.47559484623342424,0.5244051537665757,1.7125186920166016,1.8257015943527222,0.5679836273193359,2.075438976287842,63798
ByteDance,60,naive,3,36.537506103515625,9.025737762451172,27.511768341064453,2.474090576171875,0.4868647919997492,0.4829775228063576,1.7968018054962158,1.768420934677124,0.0,0.0,63798
ByteDance,60,hetero_ensemble,3,35.399919515286676,8.44614058183624,26.953778933450437,2.397060288818434,0.5131352080002508,0.4868647919997492,1.7603594504954725,1.6548599842150693,1.1375865882289489,3.113476286547895,63798
ByteDance,60,homo_ensemble,3,35.403763007905766,8.418482694473033,26.98528031343273,2.397320546006974,0.511254271293771,0.488745728706229,1.7624168151452453,1.6494409492603674,1.1337430956098586,3.1029569790500022,63798
ByteDance,60,xgboost,3,32.656925201416016,7.986956596374512,24.669967651367188,2.211322069168091,0.4898899652026709,0.5101100347973291,1.6112031936645508,1.5648915767669678,3.8805809020996094,10.62081527709961,63798
ByteDance,60,lightgbm,3,36.84670976349377,8.983128038285152,27.86358172520862,2.4950278406579063,0.5062070911313834,0.4902818270165209,1.8197789458661593,1.760072423564444,-0.30920365997814514,-0.8462637244647457,63798
ByteDance,60,extratrees,3,29.055308230667134,7.290406672857255,21.76490155780988,1.9674430476893008,0.4926956957898367,0.5056898335371015,1.4214723004515473,1.4284159912648622,7.4821978728484915,20.47812965573082,63798
ByteDance,60,bilstm,3,,,,,0.45523370638578015,0.544593874416126,,,,,63798
ByteDance,60,linear_reg,3,35.53935241699219,9.318090438842773,26.221263885498047,2.406501531600952,0.47559484623342424,0.5244051537665757,1.7125186920166016,1.8257015943527222,0.9981536865234375,2.731860399246216,63798
ByteDance,60,naive,5,54.878684997558594,9.025737762451172,45.85294723510742,3.7160401344299316,0.4868647919997492,0.4829775228063576,1.7968018054962158,1.768420934677124,0.0,0.0,63798
